id,id_localidad,nombre,id_provincia,provincia_nombre
loc_113,113,ARENAZA,1,BUENOS AIRES
loc_114,114,BALSA,1,BUENOS AIRES
loc_115,115,BAYAUCA,1,BUENOS AIRES
loc_116,116,BERMUDEZ,1,BUENOS AIRES
loc_117,117,CARLOS SALAS,1,BUENOS AIRES
loc_119,119,EL TRIUNFO,1,BUENOS AIRES
loc_120,120,ESTACION LINCOLN,1,BUENOS AIRES
loc_121,121,ESTANCIA MITIKILI,1,BUENOS AIRES
loc_122,122,ESTANCIA SAN ANTONIO,1,BUENOS AIRES
loc_123,123,FORTIN VIGILANCIA,1,BUENOS AIRES
loc_124,124,HARAS TRUJUI,1,BUENOS AIRES
loc_125,125,KILOMETRO 321,1,BUENOS AIRES
loc_126,126,KILOMETRO 322,1,BUENOS AIRES
loc_127,127,KILOMETRO 352,1,BUENOS AIRES
loc_128,128,KILOMETRO 356,1,BUENOS AIRES
loc_129,129,LA PRADERA,1,BUENOS AIRES
loc_131,131,LAS TOSCAS,1,BUENOS AIRES
loc_132,132,LINCOLN,1,BUENOS AIRES
loc_133,133,LOS ALTOS,1,BUENOS AIRES
loc_134,134,PASTEUR,1,BUENOS AIRES
loc_135,135,PUEBLO MARTINEZ DE HOZ,1,BUENOS AIRES
loc_136,136,ROBERTS,1,BUENOS AIRES
loc_137,137,SANTA MARIA,1,BUENOS AIRES
loc_138,138,TRIUNVIRATO,1,BUENOS AIRES
loc_139,139,VIGELENCIA,1,BUENOS AIRES
loc_140,140,BELLA VISTA,1,BUENOS AIRES
loc_141,141,CAMPO DE MAYO,1,BUENOS AIRES
loc_143,143,SAN MIGUEL,1,BUENOS AIRES
loc_144,144,ABBOTT,1,BUENOS AIRES
loc_145,145,CAMPO FUNKE,1,BUENOS AIRES
loc_146,146,EL SIASGO,1,BUENOS AIRES
loc_147,147,FRANCISCO BERRA,1,BUENOS AIRES
loc_148,148,FUNKE,1,BUENOS AIRES
loc_149,149,GOYENECHE,1,BUENOS AIRES
loc_150,150,GUARDIA DEL MONTE,1,BUENOS AIRES
loc_151,151,KILOMETRO 128,1,BUENOS AIRES
loc_152,152,KILOMETRO 88,1,BUENOS AIRES
loc_153,153,LOS CERRILLOS,1,BUENOS AIRES
loc_154,154,LOS EUCALIPTOS,1,BUENOS AIRES
loc_155,155,SAN MIGUEL DEL MONTE,1,BUENOS AIRES
loc_156,156,ZENON VIDELA DORNA,1,BUENOS AIRES
loc_157,157,AZCUENAGA,1,BUENOS AIRES
loc_158,158,CUCULLU,1,BUENOS AIRES
loc_159,159,ESPORA,1,BUENOS AIRES
loc_160,160,FRANKLIN,1,BUENOS AIRES
loc_161,161,HEAVY,1,BUENOS AIRES
loc_162,162,KILOMETRO 108,1,BUENOS AIRES
loc_163,163,KILOMETRO 125,1,BUENOS AIRES
loc_164,164,LA FLORIDA,1,BUENOS AIRES
loc_165,165,RUIZ SOLIS,1,BUENOS AIRES
loc_167,167,SAN ANDRES DE GILES,1,BUENOS AIRES
loc_168,168,SOLIS,1,BUENOS AIRES
loc_169,169,TUYUTI,1,BUENOS AIRES
loc_170,170,VILLA ESPIL,1,BUENOS AIRES
loc_171,171,VILLA RUIZ,1,BUENOS AIRES
loc_172,172,VILLA SAN ALBERTO,1,BUENOS AIRES
loc_173,173,12 DE OCTUBRE,1,BUENOS AIRES
loc_174,174,9 DE JULIO,1,BUENOS AIRES
loc_175,175,ALFREDO DEMARCHI,1,BUENOS AIRES
loc_176,176,AMALIA,1,BUENOS AIRES
loc_177,177,BACACAY,1,BUENOS AIRES
loc_178,178,BARRIO JULIO DE VEDIA,1,BUENOS AIRES
loc_179,179,CAMBACERES,1,BUENOS AIRES
loc_180,180,CARLOS MARIA NAON,1,BUENOS AIRES
loc_181,181,COLONIA LAS YESCAS,1,BUENOS AIRES
loc_182,182,CORBETT,1,BUENOS AIRES
loc_183,183,DENNEHY,1,BUENOS AIRES
loc_184,184,DESVIO KILOMETRO 234,1,BUENOS AIRES
loc_185,185,DUDIGNAC,1,BUENOS AIRES
loc_186,186,EL JABALI,1,BUENOS AIRES
loc_187,187,EL TEJAR,1,BUENOS AIRES
loc_188,188,ESTACION PROVINCIAL,1,BUENOS AIRES
loc_189,189,FAUZON,1,BUENOS AIRES
loc_190,190,FRENCH,1,BUENOS AIRES
loc_191,191,GALO LLORENTE,1,BUENOS AIRES
loc_192,192,GERENTE CILLEY,1,BUENOS AIRES
loc_193,193,INGENIERO DE MADRID,1,BUENOS AIRES
loc_194,194,LA ADELA,1,BUENOS AIRES
loc_195,195,LA AURORA,1,BUENOS AIRES
loc_197,197,LA YESCA,1,BUENOS AIRES
loc_198,198,LAGUNA DEL CURA,1,BUENOS AIRES
loc_199,199,LAS NEGRAS,1,BUENOS AIRES
loc_200,200,LAS ROSAS,1,BUENOS AIRES
loc_201,201,MOREA,1,BUENOS AIRES
loc_202,202,MULCAHY,1,BUENOS AIRES
loc_203,203,NORUMBEGA,1,BUENOS AIRES
loc_204,204,PATRICIOS,1,BUENOS AIRES
loc_205,205,QUIROGA,1,BUENOS AIRES
loc_206,206,RAMON J NEILD,1,BUENOS AIRES
loc_207,207,REGINALDO J NEILD,1,BUENOS AIRES
loc_208,208,SAN JUAN,1,BUENOS AIRES
loc_209,209,SANTOS UNZUE,1,BUENOS AIRES
loc_210,210,TROPEZON,1,BUENOS AIRES
loc_211,211,VILLA DIAMANTINA,1,BUENOS AIRES
loc_212,212,ABEL,1,BUENOS AIRES
loc_213,213,ALAGON,1,BUENOS AIRES
loc_215,215,ANCON,1,BUENOS AIRES
loc_216,216,ASTURIAS,1,BUENOS AIRES
loc_217,217,BARRIO OBRERO,1,BUENOS AIRES
loc_219,219,CAPITAN CASTRO,1,BUENOS AIRES
loc_220,220,CHICLANA,1,BUENOS AIRES
loc_221,221,EL RECADO,1,BUENOS AIRES
loc_222,222,EL SANTIAGO,1,BUENOS AIRES
loc_223,223,FRANCISCO MADERO,1,BUENOS AIRES
loc_224,224,GIRONDO,1,BUENOS AIRES
loc_225,225,GNECCO,1,BUENOS AIRES
loc_226,226,GUANACO,1,BUENOS AIRES
loc_227,227,INOCENCIO SOSA,1,BUENOS AIRES
loc_228,228,JUAN JOSE PASO,1,BUENOS AIRES
